NO,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),층_2023,건축년도,도로명,도로명 주소,대지위치,동_주용도,동_세부용도,X,Y,표준신주소,최종 집값(만원)_2023,층_2019,최종 집값(만원)_2019,층_2020,최종 집값(만원)_2020,층_2021,최종 집값(만원)_2021,층_2022,최종 집값(만원)_2022,id,,
10858,마곡센트럴대방디엠시티오피스텔,전세,24.02,"17,800",0,10,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,17800,6,14200,3,15600,8,18700,4,15500,유지,,
11127,마곡센트럴대방디엠시티오피스텔,전세,29.48,"22,600",0,8,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,22600,13,16500,7,16700,3,18100,13,18500,유지,,
11200,마곡센트럴대방디엠시티오피스텔,월세,30.84,"1,000",80,14,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,18800,7,18300,4,19600,8,22900,9,18800,유지,,
11248,마곡센트럴대방디엠시티오피스텔,전세,35.24,"24,970",0,9,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,24970,4,22000,14,25000,14,25000,7,28400,유지,,
11251,마곡센트럴대방디엠시티오피스텔,전세,39.97,"27,474",0,5,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,27474,7,23200,11,27500,7,31700,5,26500,유지,,
11311,마곡센트럴대방디엠시티오피스텔,월세,56.41,"10,000",120,14,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,36700,14,38400,14,46700,14,43600,14,44900,유지,,
11314,마곡센트럴대방디엠시티오피스텔,월세,64.58,"4,000",173,14,2017,양천로 344,서울특별시 강서구 양천로 344,서울특별시 강서구 마곡동 776-2,업무시설,업무시설(오피스텔),126.8403632,37.5682664,서울특별시 강서구 양천로 344,42400,14,43100,14,42300,14,43700,14,50700,유지,,
11317,마곡시티오피스텔,월세,22.51,"16,650",3,7,2016,마곡서로 170,서울특별시 강서구 마곡서로 170,서울특별시 강서구 마곡동 758,업무시설,업무시설(오피스텔),126.8255975,37.5693008,서울특별시 강서구 마곡서로 170,17300,10,17000,12,15200,10,15600,12,17000,유지,,
11399,마곡시티오피스텔,전세,24.4,"14,674",0,2,2016,마곡서로 170,서울특별시 강서구 마곡서로 170,서울특별시 강서구 마곡동 758,업무시설,업무시설(오피스텔),126.8255975,37.5693008,서울특별시 강서구 마곡서로 170,14674,6,13000,11,14200,2,14100,3,17700,유지,,
11437,마곡시티오피스텔,전세,33.74,"26,000",0,14,2016,마곡서로 170,서울특별시 강서구 마곡서로 170,서울특별시 강서구 마곡동 758,업무시설,업무시설(오피스텔),126.8255975,37.5693008,서울특별시 강서구 마곡서로 170,26000,13,19800,14,22800,13,27000,13,24300,유지,,
11446,마곡시티오피스텔,월세,36.55,"3,000",90,14,2016,마곡서로 170,서울특별시 강서구 마곡서로 170,서울특별시 강서구 마곡동 758,업무시설,업무시설(오피스텔),126.8255975,37.5693008,서울특별시 강서구 마곡서로 170,23000,14,23700,13,23700,14,25700,13,24800,유지,,
11447,마곡아이파크,전세,23.82,"17,500",0,12,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,17500,14,12400,13,15800,13,15900,14,13900,유지,,
11460,마곡아이파크,월세,24.14,"1,000",80,7,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,18800,13,14500,11,16400,6,15900,5,17200,유지,,
11461,마곡아이파크,전세,24.22,"16,500",0,3,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,16500,14,15200,10,16200,3,18700,6,17000,유지,,
11491,마곡아이파크,전세,24.38,"16,000",0,3,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,16000,10,12900,10,13700,12,18700,5,18800,유지,,
11493,마곡아이파크,월세,24.82,"1,000",66,13,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,15700,12,16600,12,16700,10,16400,14,17200,유지,,
11500,마곡아이파크,월세,24.9,"1,000",80,11,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,18800,3,14200,12,16300,14,15700,4,17200,유지,,
11532,마곡아이파크,월세,25.29,"9,000",24,4,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,14300,3,16000,8,15700,4,15700,4,14300,유지,,
11540,마곡아이파크,전세,25.43,"17,500",0,8,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,17500,7,15500,3,17800,8,17300,8,18700,유지,,
11544,마곡아이파크,전세,25.55,"16,700",0,11,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,16700,5,14700,10,15400,4,16200,10,17000,유지,,
11560,마곡아이파크,전세,25.59,"17,500",0,13,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,17500,14,14700,14,15500,14,15600,5,18500,유지,,
11574,마곡아이파크,월세,26.42,"1,000",80,5,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,18800,13,19400,8,17500,13,18900,8,15700,유지,,
11578,마곡아이파크,전세,35.68,"29,400",0,12,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,29400,12,30200,9,26300,12,29100,5,24100,유지,,
11580,마곡아이파크,전세,36.32,"32,000",0,4,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,32000,4,26100,4,27300,13,25800,4,32400,유지,,
11586,마곡아이파크,전세,36.47,"26,700",0,3,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,26700,8,22600,13,27100,5,24900,6,33000,유지,,
11594,마곡아이파크,월세,36.97,"4,000",76,4,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,20900,6,23800,6,25100,4,22200,13,25400,유지,,
11596,마곡아이파크,전세,36.98,"31,500",0,4,2016,마곡중앙8로 90,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,업무시설,업무시설(오피스텔),126.8375963,37.5605715,서울특별시 강서구 마곡중앙8로 90,31500,5,21500,6,23600,13,26300,13,26400,유지,,
11598,마곡에비앙,월세,18.45,500,54,8,2015,강서로 411,서울특별시 강서구 강서로 411,서울특별시 강서구 마곡동 793-3,업무시설,업무시설 및 근린생활시설,126.8390057,37.5623784,서울특별시 강서구 강서로 411,12500,8,13000,10,13300,3,14400,5,15000,유지,,
11616,마곡에비앙,전세,18.97,"14,000",0,3,2015,강서로 411,서울특별시 강서구 강서로 411,서울특별시 강서구 마곡동 793-3,업무시설,업무시설 및 근린생활시설,126.8390057,37.5623784,서울특별시 강서구 강서로 411,14000,9,12800,6,12000,6,14000,5,13200,유지,,
11678,마곡에비앙,월세,25.52,"1,000",80,4,2015,강서로 411,서울특별시 강서구 강서로 411,서울특별시 강서구 마곡동 793-3,업무시설,업무시설 및 근린생활시설,126.8390057,37.5623784,서울특별시 강서구 강서로 411,18800,7,18300,8,14400,7,18700,9,19800,유지,,
11687,마곡역센트럴푸르지오시티,월세,22.84,500,58,6,2016,마곡중앙6로 10,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,업무시설,업무시설(오피스텔),126.8282048,37.5603885,서울특별시 강서구 마곡중앙6로 10,13400,7,15300,8,13100,9,15900,10,14400,유지,,
11690,마곡역센트럴푸르지오시티,전세,23,"16,000",0,11,2016,마곡중앙6로 10,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,업무시설,업무시설(오피스텔),126.8282048,37.5603885,서울특별시 강서구 마곡중앙6로 10,16000,4,13500,5,13200,12,20800,10,15000,유지,,
11806,마곡역센트럴푸르지오시티,월세,23.65,"2,000",65,13,2016,마곡중앙6로 10,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,업무시설,업무시설(오피스텔),126.8282048,37.5603885,서울특별시 강서구 마곡중앙6로 10,16400,6,12800,8,12500,13,17000,6,15000,유지,,
11812,마곡역센트럴푸르지오시티,월세,23.87,"1,000",58,5,2016,마곡중앙6로 10,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,업무시설,업무시설(오피스텔),126.8282048,37.5603885,서울특별시 강서구 마곡중앙6로 10,13900,11,14300,3,12100,10,17000,5,15000,유지,,
11890,마곡역센트럴푸르지오시티,월세,23.99,"1,000",70,6,2016,마곡중앙6로 10,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,업무시설,업무시설(오피스텔),126.8282048,37.5603885,서울특별시 강서구 마곡중앙6로 10,16600,4,14200,12,16400,10,18700,9,17000,유지,,
11906,마곡역센트럴푸르지오시티,전세,39.23,"30,000",0,4,2016,마곡중앙6로 10,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,업무시설,업무시설(오피스텔),126.8282048,37.5603885,서울특별시 강서구 마곡중앙6로 10,30000,6,24900,4,28700,3,31200,4,33000,유지,,
12186,마곡일성트루엘플래닛,월세,21.27,500,70,5,2016,마곡중앙로 161-22,서울특별시 강서구 마곡중앙로 161-22,서울특별시 강서구 마곡동 758-2,업무시설," 업무시설(오피스텔),근린생활시설 ",126.825789,37.5686359,서울특별시 강서구 마곡중앙로 161-22,16100,7,11900,12,13800,10,14100,4,15500,유지,,
12214,마곡일성트루엘플래닛,월세,21.43,"1,000",70,4,2016,마곡중앙로 161-22,서울특별시 강서구 마곡중앙로 161-22,서울특별시 강서구 마곡동 758-2,업무시설," 업무시설(오피스텔),근린생활시설 ",126.825789,37.5686359,서울특별시 강서구 마곡중앙로 161-22,16600,9,16000,4,11500,11,15100,8,15000,유지,,
12367,마곡일성트루엘플래닛,전세,42.86,"22,050",0,13,2016,마곡중앙로 161-22,서울특별시 강서구 마곡중앙로 161-22,서울특별시 강서구 마곡동 758-2,업무시설," 업무시설(오피스텔),근린생활시설 ",126.825789,37.5686359,서울특별시 강서구 마곡중앙로 161-22,22050,14,27500,14,26000,13,28900,14,32400,유지,,
12376,마곡헤리움2차,월세,22.51,500,58,3,2016,마곡중앙5로1길 25,서울특별시 강서구 마곡중앙5로1길 25,서울특별시 강서구 마곡동 758-3,업무시설,업무시설(오피스텔),126.8261417,37.5692431,서울특별시 강서구 마곡중앙5로1길 25,13400,4,12200,3,12100,11,14800,5,16200,유지,,
12524,마곡헤리움2차,월세,30.31,"9,000",58,13,2016,마곡중앙5로1길 25,서울특별시 강서구 마곡중앙5로1길 25,서울특별시 강서구 마곡동 758-3,업무시설,업무시설(오피스텔),126.8261417,37.5692431,서울특별시 강서구 마곡중앙5로1길 25,21900,12,17000,14,17700,10,23900,11,17000,유지,,
12753,세종보타닉1차,월세,29.98,"1,000",94,7,2020,양천로47나길 17,서울특별시 강서구 양천로47나길 17,서울특별시 강서구 마곡동 12-2,업무시설,업무시설(오피스텔) 및 공동주택(다세대주택),126.8387019,37.5717371,서울특별시 강서구 양천로47나길 17,21900,5,20800,8,25500,6,22300,3,24500,유지,,
12994,엠코지니어스타,월세,22.63,"3,000",55,4,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,15200,10,15700,10,17300,14,15900,14,17000,유지,,
13006,엠코지니어스타,월세,22.95,500,61,8,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,14100,10,15100,8,14900,3,16600,10,16500,유지,,
13058,엠코지니어스타,전세,23.84,"16,000",0,10,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,16000,3,13900,6,15800,10,16600,6,17500,유지,,
13189,엠코지니어스타,월세,24.81,"4,000",48,4,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,14700,7,15000,7,16200,4,15300,11,16200,유지,,
13194,엠코지니어스타,월세,24.83,"1,000",70,13,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,16600,10,14800,5,16700,5,16800,4,15700,유지,,
13204,엠코지니어스타,전세,25.95,"17,010",0,14,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,17010,4,16700,4,18400,13,20300,13,20300,유지,,
13217,엠코지니어스타,월세,26.28,"2,400",60,12,2015,강서로 471,서울특별시 강서구 강서로 471,서울특별시 강서구 마곡동 776-4,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8405683,37.5674485,서울특별시 강서구 강서로 471,15700,8,18000,9,18200,6,18600,11,16700,유지,,
13469,유림트윈파크,전세,19.99,"13,500",0,6,2015,강서로 419,서울특별시 강서구 강서로 419,서울특별시 강서구 마곡동 793,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8392114,37.5629841,서울특별시 강서구 강서로 419,13500,7,10800,6,11800,6,14600,2,15200,유지,,
13556,유림트윈파크,월세,33.39,"2,000",82,8,2015,강서로 419,서울특별시 강서구 강서로 419,서울특별시 강서구 마곡동 793,업무시설," 업무시설(오피스텔),근린생활시설 ",126.8392114,37.5629841,서울특별시 강서구 강서로 419,20200,9,22200,8,23900,5,22800,7,23400,유지,,
13563,청람아트빌,전세,35.35,"18,400",0,3,2018,양천로47길 60-23,서울특별시 강서구 양천로47길 60-23,서울특별시 강서구 마곡동 6-4,공동주택,도시형생활주택(단지형다세대) 및 오피스텔,126.8376273,37.5738709,서울특별시 강서구 양천로47길 60-23,18400,3,19300,2,19300,3,19500,2,19000,유지,,
13612,필네이처,월세,22.16,"3,000",53,6,2016,마곡중앙8로 86,서울특별시 강서구 마곡중앙8로 86,서울특별시 강서구 마곡동 795-1,업무시설,업무시설(오피스텔),126.8369276,37.560628,서울특별시 강서구 마곡중앙8로 86,14800,9,16700,15,13600,4,14900,9,14200,유지,,
13686,필네이처,월세,24.63,"1,000",68,5,2016,마곡중앙8로 86,서울특별시 강서구 마곡중앙8로 86,서울특별시 강서구 마곡동 795-1,업무시설,업무시설(오피스텔),126.8369276,37.560628,서울특별시 강서구 마곡중앙8로 86,16100,9,14300,11,13700,11,13800,7,17200,유지,,
13699,필네이처,월세,32.43,"1,000",90,6,2016,마곡중앙8로 86,서울특별시 강서구 마곡중앙8로 86,서울특별시 강서구 마곡동 795-1,업무시설,업무시설(오피스텔),126.8369276,37.560628,서울특별시 강서구 마곡중앙8로 86,21000,9,23700,4,21000,7,28000,8,27400,유지,,
13710,힐스테이트 에코 마곡역,월세,19.87,"1,000",72,12,2017,마곡중앙로 76,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,업무시설,업무시설(오피스텔),126.8275029,37.5603996,서울특별시 강서구 마곡중앙로 76,17000,8,14800,12,16300,8,15000,12,19500,유지,,
13850,힐스테이트 에코 마곡역,월세,19.97,500,70,5,2017,마곡중앙로 76,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,업무시설,업무시설(오피스텔),126.8275029,37.5603996,서울특별시 강서구 마곡중앙로 76,16100,5,16200,11,17600,9,16400,13,17200,유지,,
13885,힐스테이트 에코 마곡역,월세,20.13,"1,000",68,8,2017,마곡중앙로 76,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,업무시설,업무시설(오피스텔),126.8275029,37.5603996,서울특별시 강서구 마곡중앙로 76,16100,6,14700,6,14800,7,17000,5,17800,유지,,
13895,힐스테이트 에코 마곡역,전세,42.09,"33,000",0,14,2017,마곡중앙로 76,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,업무시설,업무시설(오피스텔),126.8275029,37.5603996,서울특별시 강서구 마곡중앙로 76,33000,6,37300,12,36500,6,32600,12,35700,유지,,
13896,힐스테이트 에코 마곡역,월세,42.21,"3,000",155,5,2017,마곡중앙로 76,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,업무시설,업무시설(오피스텔),126.8275029,37.5603996,서울특별시 강서구 마곡중앙로 76,37400,9,32500,11,35300,12,35500,13,32200,유지,,
13900,힐스테이트 에코 마곡역,전세,42.41,"37,000",0,7,2017,마곡중앙로 76,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,업무시설,업무시설(오피스텔),126.8275029,37.5603996,서울특별시 강서구 마곡중앙로 76,37000,14,32800,12,35300,7,38500,6,35900,유지,,
13908,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,20.1,"17,000",0,4,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,17000,8,13900,11,11500,3,15100,4,12800,유지,,
13920,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,20.84,"16,000",0,11,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,16000,4,16200,3,16000,11,13200,6,15000,유지,,
13953,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,21.5,"17,500",0,7,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,17500,8,11700,8,11300,8,12900,8,13700,유지,,
13975,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,21.61,"18,500",0,9,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,18500,10,12800,8,11600,13,15100,13,15200,유지,,
13981,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,22.06,"16,800",0,5,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,16800,9,16200,13,13200,13,13200,13,13600,유지,,
13982,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,31.77,"28,000",0,14,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,28000,14,26600,14,28100,14,28300,14,28100,유지,,
13985,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,전세,36.72,"28,245",0,13,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,28245,13,27200,13,28900,13,27500,13,27400,유지,,
13986,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,월세,38.04,"2,000",130,13,2017,마곡중앙로 161-11,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1,업무시설," 업무시설(오피스텔),숙박시설(생활숙박시설) ",126.8267163,37.5679784,서울특별시 강서구 마곡중앙로 161-11,30900,13,33400,13,34700,13,34900,13,30900,유지,,
14282,힐스테이트에코마곡,월세,22.44,470,63,11,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,14500,11,14700,11,16100,12,16400,7,13300,유지,,
14283,힐스테이트에코마곡,월세,22.79,"1,000",75,12,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,17700,7,14500,4,15900,13,17800,11,16600,유지,,
14294,힐스테이트에코마곡,전세,23.74,"17,500",0,4,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,17500,10,16100,7,16700,7,17200,7,17600,유지,,
14307,힐스테이트에코마곡,월세,23.75,"1,000",59,6,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,14100,7,17000,14,15000,13,16400,4,17000,유지,,
14347,힐스테이트에코마곡,월세,24.09,"10,000",33,10,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,17300,12,16400,9,16200,7,17000,11,17000,유지,,
14406,힐스테이트에코마곡,전세,24.2,"18,300",0,12,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,18300,14,15000,12,19500,12,19600,14,19200,유지,,
14412,힐스테이트에코마곡,월세,24.46,"1,000",67,6,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,15900,10,17700,12,15900,6,19200,5,18800,유지,,
14438,힐스테이트에코마곡,전세,31.51,"24,500",0,13,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,24500,12,21500,5,21900,6,22300,6,22100,유지,,
14441,힐스테이트에코마곡,전세,32.11,"23,600",0,10,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,23600,10,23200,7,23700,7,26100,7,26700,유지,,
14446,힐스테이트에코마곡,전세,41.2,"33,000",0,6,2016,공항대로 269-15,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,업무시설,업무시설,126.8372377,37.5596129,서울특별시 강서구 공항대로 269-15,33000,13,27200,7,32600,6,32800,5,30700,유지,,
14448,(620-214),전세,27.37,"10,500",0,3,2011,개화동로 561,서울특별시 강서구 개화동로 561,서울특별시 강서구 방화동 620-214,업무시설,업무시설(오피스텔),126.8071948,37.56271,서울특별시 강서구 개화동로 561,10500,13,13500,4,13600,6,12700,2,13700,유지,,
14472,(620-214),월세,31.33,500,50,7,2011,개화동로 561,서울특별시 강서구 개화동로 561,서울특별시 강서구 방화동 620-214,업무시설,업무시설(오피스텔),126.8071948,37.56271,서울특별시 강서구 개화동로 561,11600,10,13600,8,15200,9,13500,8,14200,유지,,
14479,경동화인시티,전세,19.44,"7,500",0,5,2010,개화동로29길 49,서울특별시 강서구 개화동로29길 49,서울특별시 강서구 방화동 612-2,업무시설," 업무시설,근린생활시설 ",126.8096865,37.5640326,서울특별시 강서구 개화동로29길 49,7500,3,11000,4,9300,6,9400,6,11900,유지,,
14502,공항오피스텔,월세,24.12,500,40,6,2001,방화동로1길 6,서울특별시 강서구 방화동로1길 6,서울특별시 강서구 방화동 620-175,업무시설," 업무시설(오피스텔), 근린생활시설 ",126.8079584,37.5623753,서울특별시 강서구 방화동로1길 6,9400,4,8600,7,9700,7,9800,3,12400,유지,,
14522,더스카이2,월세,27.37,"13,000",10,3,2016,개화동로27가길 4,서울특별시 강서구 개화동로27가길 4,서울특별시 강서구 방화동 620-209,업무시설,업무시설(오피스텔),126.8068134,37.5639135,서울특별시 강서구 개화동로27가길 4,15200,6,16000,9,12800,6,14000,3,15700,유지,,
14631,방화샤르망1오피스텔,월세,16.29,500,32,6,2003,방화대로47가길 7,서울특별시 강서구 방화대로47가길 7,서울특별시 강서구 방화동 830-3,업무시설," 업무시설, 제2종근린생활시설 ",126.8130425,37.5765186,서울특별시 강서구 방화대로47가길 7,7600,8,8000,8,8100,4,8300,5,7900,유지,,
14655,방화샤르망1오피스텔,월세,24.9,500,45,6,2003,방화대로47가길 7,서울특별시 강서구 방화대로47가길 7,서울특별시 강서구 방화동 830-3,업무시설," 업무시설, 제2종근린생활시설 ",126.8130425,37.5765186,서울특별시 강서구 방화대로47가길 7,10500,4,11700,5,9200,5,10600,5,10600,유지,,
