NO,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),층_2023,건축년도,도로명,도로명 주소,대지위치,동_주용도,동_세부용도,X,Y,표준신주소,최종 집값(만원)_2023,층_2019,최종 집값(만원)_2019,층_2020,최종 집값(만원)_2020,층_2021,최종 집값(만원)_2021,층_2022,최종 집값(만원)_2022,id,,
275,대치3차 아이파크 오피스텔,전세,22.23,"29,400",0,13,2019,영동대로85길 20,서울특별시 강남구 영동대로85길 20,서울특별시 강남구 대치동 945-20,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0616851,37.5070246,서울특별시 강남구 영동대로85길 20,29400,14,26900,13,30400,4,27300,13,29800,유지,,
276,대치3차 아이파크 오피스텔,월세,22.24,500,110,5,2019,영동대로85길 20,서울특별시 강남구 영동대로85길 20,서울특별시 강남구 대치동 945-20,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0616851,37.5070246,서울특별시 강남구 영동대로85길 20,24900,12,26900,4,33000,4,20800,10,25600,유지,,
284,대치3차 아이파크 오피스텔,전세,22.39,"30,000",0,13,2019,영동대로85길 20,서울특별시 강남구 영동대로85길 20,서울특별시 강남구 대치동 945-20,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0616851,37.5070246,서울특별시 강남구 영동대로85길 20,30000,6,28000,5,28800,5,29700,9,28400,유지,,
306,대치3차 아이파크 오피스텔,전세,29.17,"44,000",0,8,2019,영동대로85길 20,서울특별시 강남구 영동대로85길 20,서울특별시 강남구 대치동 945-20,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0616851,37.5070246,서울특별시 강남구 영동대로85길 20,44000,4,43100,5,44500,8,51000,7,45600,유지,,
308,대치3차 아이파크 오피스텔,전세,32,"24,000",0,13,2019,영동대로85길 20,서울특별시 강남구 영동대로85길 20,서울특별시 강남구 대치동 945-20,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0616851,37.5070246,서울특별시 강남구 영동대로85길 20,24000,11,48500,13,42100,12,48000,9,46900,유지,,
313,대치동 대우아이빌 명문가,전세,33.06,"23,000",0,3,2004,선릉로90길 56,서울특별시 강남구 선릉로90길 56,서울특별시 강남구 대치동 891-23,공동주택," 공동주택(아파트),오피스텔,근린생활시설 ",127.053499,37.5050131,서울특별시 강남구 선릉로90길 56,23000,3,31200,3,25500,3,27000,3,26400,유지,,
322,대치동 대우아이빌 명문가,월세,34.2,"5,000",60,3,2004,선릉로90길 56,서울특별시 강남구 선릉로90길 56,서울특별시 강남구 대치동 891-23,공동주택," 공동주택(아파트),오피스텔,근린생활시설 ",127.053499,37.5050131,서울특별시 강남구 선릉로90길 56,18300,6,20600,6,25000,4,18500,4,21500,유지,,
330,대치동대우아이빌멤버스,전세,25.7,"19,000",0,4,2003,삼성로85길 42,서울특별시 강남구 삼성로85길 42,서울특별시 강남구 대치동 891-26,공동주택," 아파트(134호),오피스텔(91호),근린생활시설(9호) ",127.0537195,37.5045643,서울특별시 강남구 삼성로85길 42,19000,4,17200,3,21700,5,21800,2,20800,유지,,
332,대치동대우아이빌멤버스,월세,29.56,"5,000",55,2,2003,삼성로85길 42,서울특별시 강남구 삼성로85길 42,서울특별시 강남구 대치동 891-26,공동주택," 아파트(134호),오피스텔(91호),근린생활시설(9호) ",127.0537195,37.5045643,서울특별시 강남구 삼성로85길 42,17200,2,17300,2,19500,2,18000,2,21300,유지,,
333,대치동대우아이빌멤버스,월세,35.43,"23,000",20,2,2003,삼성로85길 42,서울특별시 강남구 삼성로85길 42,서울특별시 강남구 대치동 891-26,공동주택," 아파트(134호),오피스텔(91호),근린생활시설(9호) ",127.0537195,37.5045643,서울특별시 강남구 삼성로85길 42,27400,2,27500,2,28200,2,23900,2,28400,유지,,
359,더 나인 오피스텔,전세,29.97,"17,500",0,8,2004,테헤란로64길 14,서울특별시 강남구 테헤란로64길 14,서울특별시 강남구 대치동 889-56,업무시설," 업무시설(오피스텔), 근린생활시설 ",127.0509785,37.5039837,서울특별시 강남구 테헤란로64길 14,17500,11,19400,3,19500,4,20400,14,19300,유지,,
360,더 나인 오피스텔,전세,32.7,"21,000",0,8,2004,테헤란로64길 14,서울특별시 강남구 테헤란로64길 14,서울특별시 강남구 대치동 889-56,업무시설," 업무시설(오피스텔), 근린생활시설 ",127.0509785,37.5039837,서울특별시 강남구 테헤란로64길 14,21000,3,19700,4,20600,4,21000,6,22400,유지,,
374,선릉역 롯데골드로즈2,전세,39,"27,000",0,16,2004,선릉로86길 31,서울특별시 강남구 선릉로86길 31,서울특별시 강남구 대치동 890-59,업무시설," 업무시설(오피스텔,사무소),근린생활시설 ",127.0520275,37.5042083,서울특별시 강남구 선릉로86길 31,27000,12,25900,6,22600,12,26300,12,30400,유지,,
375,선릉역 롯데골드로즈2,전세,44.46,"32,100",0,11,2004,선릉로86길 31,서울특별시 강남구 선릉로86길 31,서울특별시 강남구 대치동 890-59,업무시설," 업무시설(오피스텔,사무소),근린생활시설 ",127.0520275,37.5042083,서울특별시 강남구 선릉로86길 31,32100,6,28400,7,32600,17,30800,16,28600,유지,,
378,선릉역 롯데골드로즈오피스텔,전세,32,"21,000",0,15,2003,테헤란로64길 8,서울특별시 강남구 테헤란로64길 8,서울특별시 강남구 대치동 889-53,업무시설,업무시설,127.0508967,37.5041902,서울특별시 강남구 테헤란로64길 8,21000,6,17800,8,20100,5,21000,7,20000,유지,,
